id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000001,2000001,     1 Ceres,1,Ceres,,N,N,3.4,939.4,0.09,0.2,JPL 47,2458600.5,58600,20190427,J2000,0.076009027,2.769165149,2.558683601,10.5940672,80.3055309,73.5976947,77.37209752,2.979646696,0.213885227,2458238.754,20180430.25,1683.145703,4.608201787,1.59478,620.6405326,4.82E-12,1.03E-11,1.96E-11,4.61E-09,6.17E-08,6.62E-08,7.82E-09,1.11E-11,1.20E-12,3.78E-08,9.42E-09,MBA,0.43301
a0000002,2000002,     2 Pallas,2,Pallas,,N,N,4.2,545,0.101,18,JPL 37,2459000.5,59000,20200531,J2000,0.229972259,2.773841435,2.135934854,34.83293159,173.0247412,310.2023924,144.9756755,3.411748015,0.213344586,2458320.962,20180721.46,1687.410992,4.619879512,1.23429,480.3486393,3.19E-08,4.03E-09,8.83E-08,3.47E-06,6.27E-06,9.13E-06,8.86E-06,4.96E-09,4.65E-10,4.08E-05,3.68E-06,MBA,0.35936
a0000003,2000003,     3 Juno,3,Juno,,N,N,5.33,246.596,0.214,10.594,JPL 112,2459000.5,59000,20200531,J2000,0.256936435,2.668285288,1.98270558,12.9910435,169.8514825,248.0661933,125.4353546,3.353864996,0.226128698,2458445.792,20181123.29,1592.013769,4.358696149,1.03429,402.5146393,3.05E-08,3.47E-09,8.14E-08,3.22E-06,1.66E-05,1.77E-05,8.11E-06,4.36E-09,4.41E-10,3.53E-05,3.11E-06,MBA,0.33848
a0000004,2000004,     4 Vesta,4,Vesta,,N,N,3,525.4,0.4228,0.2,JPL 35,2458600.5,58600,20190427,J2000,0.08872146,2.361417894,2.151909451,7.141771088,103.810804,150.7285411,95.86193772,2.570926337,0.271609402,2458247.56,20180509.06,1325.432763,3.628837134,1.13948,443.4514316,2.33E-10,1.51E-09,1.93E-09,2.17E-07,3.88E-07,1.79E-07,1.21E-06,1.65E-09,2.61E-10,4.10E-06,1.27E-06,MBA,0.3998
a0000005,2000005,     5 Astraea,5,Astraea,,N,N,6.9,106.699,0.274,3.14,JPL 114,2459000.5,59000,20200531,J2000,0.190913344,2.57403728,2.082619215,5.367427136,141.5710265,358.648418,17.84634261,3.065455345,0.238661203,2458925.723,20200317.22,1508.414421,4.12981361,1.09575,426.4330275,2.37E-08,3.97E-09,6.09E-08,2.74E-06,2.89E-05,2.98E-05,8.30E-06,4.73E-09,5.52E-10,3.47E-05,3.49E-06,MBA,0.52191
a0000006,2000006,     6 Hebe,6,Hebe,,N,N,5.8,185.18,0.2679,2.9,JPL 89,2459000.5,59000,20200531,J2000,0.203218826,2.424532679,1.931821993,14.73965332,138.6434315,239.7362732,190.6864963,2.917243364,0.261073031,2459649.029,20220310.53,1378.924506,3.775289545,0.973673,378.9243214,1.98E-08,2.75E-09,4.81E-08,2.19E-06,1.12E-05,1.30E-05,7.39E-06,3.31E-09,4.44E-10,2.88E-05,2.34E-06,MBA,0.41032
a0000007,2000007,     7 Iris,7,Iris,,N,N,5.6,199.83,0.2766,10,110,2459000.5,59000,20200531,J2000,0.230145044,2.387375341,1.837932737,5.521598289,259.5639434,145.2015446,247.4258115,2.936817944,0.267191734,2459421.824,20210726.32,1347.347071,3.688835238,0.850693,331.0641948,1.99E-08,2.01E-09,4.75E-08,2.58E-06,2.64E-05,2.71E-05,7.01E-06,2.47E-09,3.37E-10,2.66E-05,1.70E-06,MBA,0.38128
a0000008,2000008,     8 Flora,8,Flora,,N,N,6.5,147.491,0.226,1.025,JPL 118,2459000.5,59000,20200531,J2000,0.155832793,2.201414665,1.85836207,5.889080655,110.8765239,285.4589151,315.318013,2.54446726,0.301752788,2459148.575,20201026.07,1193.029574,3.266336959,0.87598,340.9051366,2.36E-08,2.31E-09,5.18E-08,3.24E-06,2.43E-05,2.66E-05,1.21E-05,2.67E-09,4.75E-10,4.02E-05,1.88E-06,MBA,0.54186
a0000009,2000009,     9 Metis,9,Metis,,N,N,6.3,190,0.118,,JPL 116,2459000.5,59000,20200531,J2000,0.123300238,2.386189446,2.091971719,5.576493847,68.90945926,6.33732452,23.91220404,2.680407172,0.267390943,2458911.072,20200302.57,1346.343282,3.686087013,1.10711,430.8539987,1.84E-08,3.09E-09,4.43E-08,2.01E-06,2.42E-05,2.60E-05,1.04E-05,3.47E-09,5.19E-10,3.87E-05,2.61E-06,MBA,0.44895
a0000010,2000010,    10 Hygiea,10,Hygiea,,N,N,5.5,407.12,0.0717,6.8,JPL 96,2459000.5,59000,20200531,J2000,0.11211732,3.142435384,2.79011395,3.831786066,283.1984443,312.4129317,222.8505434,3.494756817,0.176931247,2459775.657,20220715.16,2034.688644,5.570673906,1.7803,692.839351,1.63E-08,6.92E-09,5.10E-08,2.17E-06,2.86E-05,3.02E-05,1.12E-05,7.70E-09,5.85E-10,6.48E-05,6.72E-06,MBA,0.53434
a0000011,2000011,    11 Parthenope,11,Parthenope,,N,N,6.5,142.887,0.191,1.008,JPL 106,2459000.5,59000,20200531,J2000,0.099823315,2.452389779,2.207584102,4.631824772,125.5283793,195.3590505,21.70182202,2.697195457,0.25663733,2458915.938,20200307.44,1402.757738,3.840541378,1.19498,465.0503666,3.07E-08,2.41E-09,7.57E-08,3.42E-06,2.48E-05,2.78E-05,1.20E-05,2.65E-09,3.78E-10,4.69E-05,2.07E-06,MBA,0.46367
a0000012,2000012,    12 Victoria,12,Victoria,,N,N,7.3,115.087,0.163,1.199,JPL 119,2459000.5,59000,20200531,J2000,0.220439092,2.333777699,1.819321863,8.372748679,235.4010329,69.6942219,243.8347335,2.848233535,0.276448887,2459420.705,20210725.21,1302.229877,3.565311093,0.82468,320.9407156,2.45E-08,2.37E-09,5.73E-08,2.52E-06,1.90E-05,1.99E-05,7.39E-06,2.89E-09,4.20E-10,2.71E-05,1.98E-06,MBA,0.54993
a0000013,2000013,    13 Egeria,13,Egeria,,N,N,6.8,202.636,0.07,7.87,JPL 91,2459000.5,59000,20200531,J2000,0.085283111,2.576063889,2.356369146,16.53553175,43.2210228,80.4145424,283.0025922,2.795758633,0.238379623,2459323.503,20210419,1510.196194,4.13469184,1.4357,558.731369,3.27E-08,3.47E-09,8.39E-08,3.78E-06,1.28E-05,2.58E-05,2.22E-05,3.77E-09,4.82E-10,9.32E-05,3.05E-06,MBA,0.56183
a0000014,2000014,    14 Irene,14,Irene,,N,N,6.5,152,0.159,,JPL 84,2459000.5,59000,20200531,J2000,0.166249875,2.586377164,2.156392285,9.121448014,86.12399137,97.80167129,259.7957126,3.016362044,0.236955224,2459423.383,20210727.88,1519.274374,4.159546541,1.18081,459.5358277,3.01E-08,3.28E-09,7.83E-08,3.50E-06,2.04E-05,2.30E-05,1.10E-05,3.83E-09,4.51E-10,4.67E-05,2.89E-06,MBA,0.53686
a0000015,2000015,    15 Eunomia,15,Eunomia,,N,N,5.2,231.689,0.248,2.234,JPL 78,2459000.5,59000,20200531,J2000,0.186177698,2.643689742,2.151493671,11.75361935,292.9347981,98.59525006,15.02560935,3.135885813,0.229291706,2458934.969,20200326.47,1570.052431,4.298569284,1.1949,465.019233,2.56E-08,3.26E-09,6.75E-08,2.43E-06,1.35E-05,1.50E-05,7.21E-06,3.87E-09,4.25E-10,3.14E-05,2.91E-06,MBA,0.56426
a0000016,2000016,    16 Psyche,16,Psyche,,N,N,5.9,226,0.1203,23,89,2459000.5,59000,20200531,J2000,0.133531198,2.922775578,2.532493853,3.096560393,150.0407118,229.0267876,7.048517615,3.313057302,0.19724721,2458964.766,20200425.27,1825.120871,4.996908614,1.53586,597.7106362,2.94E-08,6.89E-09,8.52E-08,3.74E-06,6.52E-05,6.68E-05,1.61E-05,7.81E-09,6.97E-10,8.16E-05,6.45E-06,MBA,0.36732
a0000017,2000017,    17 Thetis,17,Thetis,,N,N,7.7,84.899,0.193,2.027,JPL 110,2459000.5,59000,20200531,J2000,0.133322728,2.470964691,2.141528938,5.592662174,125.5396698,135.9741481,45.07427258,2.800400444,0.253748956,2458822.867,20191205.37,1418.725047,3.884257487,1.13008,439.7932336,2.68E-08,3.13E-09,6.61E-08,2.90E-06,2.61E-05,2.76E-05,9.73E-06,3.54E-09,4.82E-10,3.82E-05,2.69E-06,MBA,0.54502
a0000018,2000018,    18 Melpomene,18,Melpomene,,N,N,6.6,139.594,0.181,2.452,JPL 108,2459000.5,59000,20200531,J2000,0.217505332,2.295708701,1.796379818,10.13158957,150.3651823,228.0776863,20.4621022,2.795037583,0.28335371,2458928.286,20200319.79,1270.496863,3.478430837,0.813814,316.7119944,2.94E-08,2.30E-09,6.73E-08,3.57E-06,1.92E-05,2.08E-05,9.52E-06,2.79E-09,4.25E-10,3.35E-05,1.91E-06,MBA,0.42644
a0000019,2000019,    19 Fortuna,19,Fortuna,,N,N,7.3,200,0.037,,JPL 130,2459000.5,59000,20200531,J2000,0.15697472,2.442857074,2.05939027,1.572665329,211.0689729,182.2627447,300.3462316,2.826323878,0.258140999,2459231.59,20210117.09,1394.586684,3.81817025,1.06556,414.6839852,2.34E-08,3.28E-09,5.72E-08,2.61E-06,0.00010365,0.00010407,1.09E-05,3.80E-09,5.21E-10,4.24E-05,2.81E-06,MBA,0.49527
a0000020,2000020,    20 Massalia,20,Massalia,,N,N,6.5,135.68,0.241,3.674,JPL 106,2459000.5,59000,20200531,J2000,0.142493783,2.409358167,2.066039607,0.708566914,206.0132179,257.3509375,222.4603219,2.752676727,0.263543328,2459522.386,20211103.89,1365.999295,3.739902245,1.08305,421.4905685,2.17E-08,3.68E-09,5.25E-08,2.37E-06,0.00018852,0.0001887,8.72E-06,4.20E-09,6.03E-10,3.34E-05,3.13E-06,MBA,0.55935
a0000021,2000021,    21 Lutetia,21,Lutetia,,N,N,7.5,95.76,0.2212,4.1,JPL 107,2459000.5,59000,20200531,J2000,0.163389805,2.435272006,2.037373388,3.063966749,80.86663293,249.9973066,87.97582348,2.833170624,0.259347974,2458661.281,20190626.78,1388.096444,3.800400941,1.02901,400.4598217,2.92E-08,3.76E-09,7.15E-08,3.67E-06,6.29E-05,6.41E-05,1.43E-05,4.38E-09,6.01E-10,5.47E-05,3.22E-06,MBA,0.38524
a0000022,2000022,    22 Kalliope,22,Kalliope,,N,N,6.5,167.536,0.166,3.053,JPL 99,2459000.5,59000,20200531,J2000,0.098049766,2.910347528,2.624988633,13.70173622,66.0046455,357.2564762,274.6358419,3.195706424,0.198512014,2459430.52,20210804.02,1813.492252,4.96507119,1.63844,637.6316948,3.52E-08,6.79E-09,1.00E-07,3.77E-06,1.18E-05,1.89E-05,1.64E-05,7.46E-09,6.95E-10,8.34E-05,6.35E-06,MBA,0.43346
a0000023,2000023,    23 Thalia,23,Thalia,,N,N,6.95,107.53,0.2536,2.2,JPL 93,2459000.5,59000,20200531,J2000,0.23475172,2.625114957,2.008864706,10.11400288,66.84479318,60.63247963,68.51282905,3.241365208,0.231729639,2458704.842,20190809.34,1553.534551,4.253345793,1.04616,407.1340872,2.96E-08,4.37E-09,7.88E-08,3.57E-06,1.88E-05,2.02E-05,7.86E-06,5.39E-09,5.78E-10,3.37E-05,3.88E-06,MBA,0.53314
a0000024,2000024,    24 Themis,24,Themis,,N,N,7.3,198,0.067,,JPL 115,2459000.5,59000,20200531,J2000,0.124421895,3.135384857,2.745274333,0.751651383,35.92039172,106.9819101,66.20951499,3.525495381,0.17752838,2458627.548,20190524.05,2027.844791,5.551936458,1.75798,684.1530766,2.78E-08,6.75E-09,8.75E-08,3.04E-06,0.00023361,0.00023393,1.31E-05,7.59E-09,5.73E-10,7.33E-05,6.54E-06,MBA,0.51161
a0000025,2000025,    25 Phocaea,25,Phocaea,,N,N,7.8,61.054,0.35,2.463,JPL 99,2459000.5,59000,20200531,J2000,0.254895614,2.399561513,1.787923808,21.60666639,214.1202778,90.30961999,278.8823407,3.011199217,0.265158921,2459306.421,20210401.92,1357.676367,3.717115309,0.923068,359.2303736,2.84E-08,3.19E-09,6.76E-08,3.14E-06,8.16E-06,1.05E-05,6.92E-06,4.00E-09,5.29E-10,2.65E-05,2.71E-06,MBA,0.44025
a0000026,2000026,    26 Proserpina,26,Proserpina,,N,N,7.5,94.8,0.1966,1.7,JPL 120,2459000.5,59000,20200531,J2000,0.089828319,2.655210373,2.416697289,3.562758698,45.77913563,193.5713965,196.7396739,2.893723457,0.227801023,2459717.18,20220517.68,1580.32653,4.326698234,1.40459,546.6242903,3.34E-08,7.06E-09,8.80E-08,3.44E-06,7.08E-05,7.52E-05,2.73E-05,7.70E-09,9.09E-10,0.00012054,6.30E-06,MBA,0.5143
a0000027,2000027,    27 Euterpe,27,Euterpe,,N,N,7,96,0.215,,JPL 110,2459000.5,59000,20200531,J2000,0.173130987,2.346231774,1.940026352,1.583696215,94.78724434,356.3779279,85.0623535,2.752437197,0.274250675,2458690.337,20190725.84,1312.667688,3.593888262,0.956641,372.295978,2.86E-08,2.77E-09,6.70E-08,2.95E-06,9.84E-05,9.87E-05,9.42E-06,3.25E-09,4.85E-10,3.41E-05,2.32E-06,MBA,0.54191
a0000028,2000028,    28 Bellona,28,Bellona,,N,N,7.2,120.9,0.1763,3.4,JPL 105,2459000.5,59000,20200531,J2000,0.151782123,2.776153051,2.354782648,9.429957208,144.286937,344.0095153,358.7646029,3.197523455,0.213078174,2459006.298,20200605.8,1689.52077,4.625655769,1.37105,533.5715285,3.03E-08,5.11E-09,8.47E-08,3.57E-06,1.59E-05,1.84E-05,1.03E-05,5.89E-09,5.89E-10,4.84E-05,4.67E-06,MBA,0.54576
a0000029,2000029,    29 Amphitrite,29,Amphitrite,,N,N,5.9,189.559,0.216,1.129,JPL 145,2459000.5,59000,20200531,J2000,0.072959119,2.554818381,2.368421082,6.081867523,356.3358682,63.27357027,20.89746563,2.74121568,0.241359293,2458913.918,20200305.42,1491.552262,4.083647534,1.38747,539.9616999,2.90E-08,3.95E-09,7.42E-08,2.94E-06,3.01E-05,3.81E-05,2.29E-05,4.24E-09,5.59E-10,9.50E-05,3.46E-06,MBA,0.55778
a0000030,2000030,    30 Urania,30,Urania,,N,N,7.5,92.787,0.192,2.04,JPL 110,2459000.5,59000,20200531,J2000,0.127728357,2.36508476,2.062996369,2.096022081,307.468645,87.31846225,137.5647324,2.667173152,0.270977985,2458492.84,20190109.34,1328.521207,3.637292833,1.07075,416.7037775,2.69E-08,3.09E-09,6.33E-08,3.04E-06,8.05E-05,8.16E-05,1.31E-05,3.48E-09,5.31E-10,4.81E-05,2.60E-06,MBA,0.48702
a0000031,2000031,    31 Euphrosyne,31,Euphrosyne,,N,N,6.8,267.08,0.053,2.611,JPL 99,2459000.5,59000,20200531,J2000,0.219942091,3.158100281,2.463501101,26.28000542,31.09092835,61.62383237,157.3707674,3.85269946,0.175616452,2458104.395,20171216.9,2049.921834,5.612380107,1.57532,613.0672844,3.03E-08,5.91E-09,9.55E-08,4.16E-06,7.60E-06,1.24E-05,9.70E-06,7.20E-09,4.93E-10,5.36E-05,5.75E-06,MBA,0.51228
a0000032,2000032,    32 Pomona,32,Pomona,,N,N,7.6,80.76,0.2564,1.6,JPL 106,2459000.5,59000,20200531,J2000,0.081634434,2.587221172,2.376014834,5.52163334,220.3867205,339.0706086,127.0513088,2.798427509,0.236839284,2458464.055,20181211.55,1520.018107,4.161582772,1.37386,534.6650962,4.43E-08,8.16E-09,1.15E-07,4.85E-06,4.99E-05,5.82E-05,3.10E-05,8.83E-09,1.12E-09,0.00013053,7.19E-06,MBA,0.56598
a0000033,2000033,    33 Polyhymnia,33,Polyhymnia,,N,N,8.5,52.929,0.24,2.304,JPL 40,2459000.5,59000,20200531,J2000,0.331468949,2.874059607,1.921398089,1.852707895,8.459411056,338.4144877,62.91487089,3.826721125,0.20228348,2458689.477,20190724.98,1779.68067,4.872500124,0.914781,356.0053218,3.96E-08,6.21E-09,1.13E-07,4.49E-06,0.00012338,0.00012348,6.27E-06,8.27E-09,6.56E-10,3.07E-05,5.77E-06,MBA,0.49143
a0000034,2000034,    34 Circe,34,Circe,,N,N,8.6,132.992,0.052,1.033,JPL 79,2459000.5,59000,20200531,J2000,0.10644525,2.686002507,2.400090298,5.497332187,184.343968,330.4944517,216.4433933,2.971914717,0.22389503,2459641.678,20220303.18,1607.896343,4.402180268,1.41137,549.2628629,2.29E-08,5.10E-09,6.13E-08,2.47E-06,3.47E-05,3.80E-05,1.60E-05,5.64E-09,6.37E-10,7.18E-05,4.58E-06,MBA,0.48023
a0000035,2000035,    35 Leukothea,35,Leukothea,,N,N,8.6,103.055,0.066,1.201,JPL 53,2459000.5,59000,20200531,J2000,0.225308204,2.994191155,2.319575324,7.932409877,353.7187615,213.4265346,291.3024208,3.668806985,0.190232532,2459361.624,20210527.12,1892.420794,5.18116576,1.32064,513.9534688,3.06E-08,6.42E-09,9.20E-08,3.66E-06,2.50E-05,2.62E-05,9.10E-06,7.86E-09,6.12E-10,4.84E-05,6.09E-06,MBA,0.45028
a0000036,2000036,    36 Atalante,36,Atalante,,N,N,8.5,132.842,0.036,0.532,JPL 91,2459000.5,59000,20200531,J2000,0.305101221,2.747268315,1.909073396,18.36902183,358.2052822,47.81236788,26.32019653,3.585463233,0.216447442,2458878.899,20200130.4,1663.221318,4.553651794,0.959687,373.4813898,4.72E-08,7.20E-09,1.31E-07,5.99E-06,1.26E-05,1.50E-05,8.18E-06,9.40E-09,8.51E-10,3.75E-05,6.54E-06,MBA,0.43355
a0000037,2000037,    37 Fides,37,Fides,,N,N,7.3,108.35,0.1826,1.9,JPL 124,2459000.5,59000,20200531,J2000,0.175645294,2.642047372,2.177984184,3.07092679,7.258070034,62.77227177,73.39732561,3.106110561,0.22950554,2458680.694,20190716.19,1568.589586,4.294564232,1.19434,464.8012978,3.10E-08,4.07E-09,8.24E-08,3.80E-06,6.85E-05,6.94E-05,1.17E-05,4.78E-09,5.30E-10,5.10E-05,3.62E-06,MBA,0.52676
a0000038,2000038,    38 Leda,38,Leda,,N,N,8.5,92.255,0.055,0.49,JPL 107,2459000.5,59000,20200531,J2000,0.154741717,2.738640132,2.314858257,6.971279059,295.722236,169.2407835,91.97851652,3.162422008,0.217471135,2458577.554,20190404.05,1655.392103,4.532216571,1.3321,518.413357,3.66E-08,6.06E-09,1.00E-07,3.98E-06,3.15E-05,3.37E-05,1.23E-05,6.99E-09,7.21E-10,5.63E-05,5.49E-06,MBA,0.43828
a0000039,2000039,    39 Laetitia,39,Laetitia,,N,N,6.1,179.484,0.269,1.685,JPL 106,2459000.5,59000,20200531,J2000,0.111456827,2.768872117,2.460262418,10.37001347,156.9480424,209.3062766,26.96825619,3.077481817,0.213919181,2458874.433,20200125.93,1682.878546,4.607470351,1.46278,569.2700926,3.26E-08,4.39E-09,8.96E-08,3.54E-06,1.94E-05,2.51E-05,1.69E-05,4.88E-09,5.08E-10,7.88E-05,4.00E-06,MBA,0.41993
a0000040,2000040,    40 Harmonia,40,Harmonia,,N,N,7,111.251,0.22,0.391,JPL 117,2459000.5,59000,20200531,J2000,0.047191657,2.266890393,2.15991208,4.257392586,94.18886406,269.4974294,223.2722073,2.373868706,0.288774135,2459473.977,20210916.48,1246.649048,3.413139079,1.16168,452.0910056,2.82E-08,2.53E-09,6.42E-08,3.03E-06,4.20E-05,5.35E-05,3.38E-05,2.65E-09,4.83E-10,0.00011738,2.09E-06,MBA,0.42757
a0000041,2000041,    41 Daphne,41,Daphne,,N,N,7.4,205.495,0.059,1.881,JPL 129,2459000.5,59000,20200531,J2000,0.275032292,2.761286297,2.001843398,15.78819191,178.0724825,45.93172821,220.2537875,3.520729196,0.214801306,2459651.084,20220312.58,1675.967464,4.588548841,1.02782,399.9967094,1.95E-08,5.68E-09,5.45E-08,2.01E-06,8.88E-06,1.02E-05,7.15E-06,7.24E-09,6.62E-10,3.51E-05,5.17E-06,MBA,0.44541
a0000042,2000042,    42 Isis,42,Isis,,N,N,7.5,110.997,0.139,1.378,JPL 103,2459000.5,59000,20200531,J2000,0.223046779,2.442059509,1.897366001,8.514364926,84.19775734,237.2569036,306.8146322,2.986753018,0.258267471,2459206.431,20201222.93,1393.903765,3.81630052,0.900072,350.2810202,2.97E-08,3.24E-09,7.26E-08,3.37E-06,2.17E-05,2.30E-05,9.50E-06,3.96E-09,5.14E-10,3.70E-05,2.78E-06,MBA,0.54581
a0000043,2000043,    43 Ariadne,43,Ariadne,,N,N,7.9,71.34,0.234,1.254,JPL 114,2459000.5,59000,20200531,J2000,0.168434577,2.203158413,1.832070357,3.471363185,264.8093082,16.34933292,258.3900063,2.57424647,0.301394613,2459337.633,20210503.13,1194.44736,3.270218643,0.815921,317.5319756,3.45E-08,3.31E-09,7.61E-08,3.99E-06,6.41E-05,6.52E-05,1.34E-05,3.87E-09,6.80E-10,4.49E-05,2.69E-06,MBA,0.53063
a0000044,2000044,    44 Nysa,44,Nysa,,N,N,6.9,70.64,0.482,4,JPL 117,2459000.5,59000,20200531,J2000,0.14799278,2.424859145,2.0659975,3.710079489,131.494749,343.8645059,186.5544324,2.78372079,0.261020309,2459664.991,20220326.49,1379.203027,3.776052093,1.08264,421.3310088,3.32E-08,3.82E-09,8.02E-08,3.67E-06,5.20E-05,5.33E-05,1.20E-05,4.39E-09,6.17E-10,4.65E-05,3.26E-06,MBA,0.56302
a0000045,2000045,    45 Eugenia,45,Eugenia,,N,N,7.5,202.327,0.045,2.168,JPL 107,2459000.5,59000,20200531,J2000,0.084164523,2.719269795,2.490403749,6.605580976,147.6001805,87.79616669,126.6509968,2.948135841,0.219798956,2458424.287,20181101.79,1637.86037,4.484217305,1.49003,579.8749751,3.21E-08,5.71E-09,8.83E-08,3.39E-06,3.12E-05,3.74E-05,2.06E-05,6.19E-09,6.92E-10,9.36E-05,5.16E-06,MBA,0.4876
a0000046,2000046,    46 Hestia,46,Hestia,,N,N,8.5,131.471,0.046,0.737,JPL 157,2459000.5,59000,20200531,J2000,0.172301751,2.525194782,2.090099299,2.350036609,181.0771721,177.383031,168.1565817,2.960290266,0.245618881,2458315.876,20180716.38,1465.685366,4.012827834,1.08634,422.7709378,2.89E-08,3.85E-09,7.26E-08,3.01E-06,8.10E-05,8.17E-05,1.19E-05,4.52E-09,5.62E-10,4.79E-05,3.35E-06,MBA,0.49585
a0000047,2000047,    47 Aglaja,47,Aglaja,,N,N,8.1,168.174,0.082,1.222,JPL 115,2459000.5,59000,20200531,J2000,0.129947004,2.88227373,2.507730894,4.974553597,3.066450851,314.8373121,132.705722,3.256816565,0.201419373,2458341.647,20180811.15,1787.315666,4.893403602,1.49781,582.9027177,3.00E-08,7.06E-09,8.67E-08,3.84E-06,3.98E-05,4.28E-05,1.65E-05,7.98E-09,7.40E-10,8.14E-05,6.57E-06,MBA,0.4514
a0000048,2000048,    48 Doris,48,Doris,,N,N,7.1,216.473,0.065,4.757,JPL 171,2459000.5,59000,20200531,J2000,0.072263574,3.109514977,2.884810311,6.547932948,183.5526368,252.8414897,141.5085436,3.334219643,0.179748425,2458213.241,20180404.74,2002.799186,5.483365328,1.90855,742.7504035,2.81E-08,7.29E-09,8.68E-08,3.05E-06,2.84E-05,3.66E-05,2.32E-05,7.81E-09,6.32E-10,0.00012887,7.04E-06,MBA,0.51614
a0000049,2000049,    49 Pales,49,Pales,,N,N,7.8,166.252,0.048,2.166,JPL 82,2459000.5,59000,20200531,J2000,0.221379014,3.097694335,2.411929818,3.201813251,285.0550532,112.9573006,312.0438784,3.783458853,0.180778272,2459265.776,20210220.28,1991.389758,5.452128017,1.4218,553.321906,3.54E-08,7.66E-09,1.07E-07,3.78E-06,7.08E-05,7.14E-05,9.53E-06,9.36E-09,6.71E-10,5.31E-05,7.39E-06,MBA,0.52237
